name;department;line_id;station_id;type;name_station;num_docks_available;cargo_docks;is_installed;date_installed;repair_station;inflator_station;video_monitoring;lockers;vae_refills;automatic_sensors_counting;automatic_video_counting;price;price_navigo;url_subscription;url_find_out_more;project_owner;id_contrat;zdcname;zdcld;municipality;insee_code;intercommunality;x_long;y_lat;Geo Point;Geo Shape;code_sav
Ablon;94.0;RER C;203;abri;;12;;true;2020;False;False;False;False;False;False;False;;NC;NC;;Département - Val-de-Marne;;Ablon;69554;Ablon-sur-Seine;94001;EPT Grand Orly Seine Bièvre;2.41919806365016;48.7256003758382;48.7256003758382, 2.41919806365016;"{""coordinates"": [2.41919806365, 48.7256003758], ""type"": ""Point""}";#N/A
Ablon;94.0;RER C;205;abri;;12;;true;2020;False;False;False;False;False;False;False;;NC;NC;;Département - Val-de-Marne;;Ablon;69554;Ablon-sur-Seine;94001;EPT Grand Orly Seine Bièvre;2.41917483627;48.7255656257;48.7255656257, 2.41917483627;"{""coordinates"": [2.41917483627, 48.7255656257], ""type"": ""Point""}";#N/A
Aeroport D'orly;91.0;METRO 14;1351;abri;;68;;true;2024;False;False;False;False;False;False;False;;NC;NC;;ADP;50.0;Aéroport d’Orly (Terminal 4);63284;Paray-Vieille-Poste;91479;EPT Grand Orly Seine Bièvre;2.3615311;48.7276932;48.7276932, 2.3615311;"{""coordinates"": [2.3615311, 48.7276932], ""type"": ""Point""}";#N/A
Aime Cesaire;93.0;METRO 12;754;abri;;60;;true;2025;False;False;False;False;False;False;False;;NC;NC;;RATP;65.0;Aimé Césaire;72491;Aubervilliers;93001;EPT Plaine Commune;2.37792119;48.90812668;48.90812668, 2.37792119;"{""coordinates"": [2.37792119, 48.90812668], ""type"": ""Point""}";#N/A
Amedee Gordini;91.0;TRAM 12;618;consigne;Amedee Gordini - Tram12;40;;true;2025;True;True;True;False;True;True;False;30 €;0 €;https://mon-espace.iledefrance-mobilites.fr/souscription-service-parking-velos/618;https://www.iledefrance-mobilites.fr/services-mobilite-alternative/parkings-velos;IDFM;25.0;Amédée Gordini;60856;Viry-Châtillon;91687;EPT Grand Orly Seine Bièvre;2.37315584607523;48.6589931889161;48.6589931889161, 2.37315584607523;"{""coordinates"": [2.37315584608, 48.6589931889], ""type"": ""Point""}";518
Arboretum;93.0;TRAM 4;1010;abri;;12;;true - non labellisé;2021;False;False;False;False;False;False;False;;NC;NC;;IDFM;;Arboretum;478648;Montfermeil;93047;EPT Grand Paris Grand Est;2.562723;48.897947;48.897947, 2.562723;"{""coordinates"": [2.562723, 48.897947], ""type"": ""Point""}";#N/A
Aulnay-sous-bois;93.0;RER B,TRAIN K,TRAM 4;179;abri;;29;;true;2021;False;False;False;False;False;False;False;;NC;NC;;Ville d'Aulnay-sous-Bois;52.0;Aulnay-sous-Bois;72646;Aulnay-sous-Bois;93005;EPT Paris Terres d'Envol;2.49496;48.93151;48.93151, 2.49496;"{""coordinates"": [2.49496, 48.93151], ""type"": ""Point""}";#N/A
Bagneux - Lucie Aubrac;92.0;METRO 4;279;abri;;58;;true;2024;False;False;False;False;False;False;False;;NC;NC;;EPT - Vallée Sud Grand Paris;;Bagneux - Lucie Aubrac;483315;Bagneux;92007;EPT Vallée Sud Grand Paris;2.31817248;48.8040255575;48.8040255575, 2.31817248;"{""coordinates"": [2.31817248, 48.8040255575], ""type"": ""Point""}";#N/A
Ballancourt;91.0;RER D;1111;consigne;Ballancourt;15;;true;2024;True;True;True;False;False;False;False;30 €;0 €;https://mon-espace.iledefrance-mobilites.fr/souscription-service-parking-velos/1111;https://www.iledefrance-mobilites.fr/services-mobilite-alternative/parkings-velos;SNCF;68.0;Ballancourt;59825;Ballancourt-sur-Essonne;91045;CC du Val d'Essonne;2.3714054811997;48.531902400112;48.531902400112, 2.3714054811997;"{""coordinates"": [2.3714054812, 48.5319024001], ""type"": ""Point""}";548
Berault;94.0;METRO 1;72;abri;;12;;true;2023;False;False;False;False;False;False;False;;NC;NC;;RATP;65.0;Bérault;71650;Vincennes;94080;EPT Paris Est Marne et Bois;2.43104932148;48.8452036747;48.8452036747, 2.43104932148;"{""coordinates"": [2.43104932148, 48.8452036747], ""type"": ""Point""}";#N/A
