Nom du site;Code_insee;Departement;Adresse;Code_postal;Commune;Capacité maximum;Compétence location;Compétence information;Retrait pour vélo à assistance électrique;Retrait pour vélo à assistance électrique rallongé;Retrait pour biporteur à assistance électrique;Retrait pour triporteur à assistance électrique;Restitution pour vélo à assistance électrique;Restitution pour vélo à assistance électrique rallongé;Restitution pour biporteur à assistance électrique;Restitution pour triporteur à assistance électrique;Type de site;Nombre  remise;Nombre reprise;x_long;y_lat;Geo Point
La Poste - Site de Serris;77132;77;9 boulevard Robert Thiboust;77700;SERRIS;6;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;87;2;2.7918;48.8423;48.8423, 2.7918
La Poste - Site de Rosny;93064;93;33 Bis rue d'Estienne  d'Orves;93110;ROSNY SOUS BOIS;6;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;88;4;2.483457;48.870259;48.870259, 2.483457
Bureau de Poste - Domont;95199;95;38 AVENUE JEAN JAURES;95330;DOMONT;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;46;0;2.334749;49.030678;49.030678, 2.334749
La Poste POPINCOURT;75111;75;21 Rue BREGUET;75011;PARIS 11;5;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;442;15;2.375253;48.858146;48.858146, 2.375253
DECLIC'CYCLO;95480;95;Centre commercial les Arcades - Rue du Général de Gaulle;95620;PARMAIN;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;6;0;2.2040039;49.1039623;49.1039623, 2.2040039
Samo Coop;94068;94;43 Boulevard de la Marne;94210;ST MAUR DES FOSSES;15;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;94;0;2.50153404;48.79291601;48.79291601, 2.50153404
Bureau de Poste - Clamart Centre;92023;92;38 RUE DE MEUDON;92140;CLAMART;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;395;3;2.259219;48.802021;48.802021, 2.259219
La Poste - Site de Bobigny;93008;93;1 rue Pablo Picasso;93000;BOBIGNY;8;;;;;;;;;;;;362;4;2.449403997;48.90810837;48.90810837, 2.449403997
Franprix Gouvion;75117;75;25 Boulevard Gouvion Saint Cyr;75017;PARIS 17;5;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;187;0;2.28571105;48.88133621;48.88133621, 2.28571105
Vélo Services - Cergy;95127;95;53 rue Francis Combe;95000;CERGY;5;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;151;4;2.071629;49.045489;49.045489, 2.071629
Bureau de Poste - Saint-Brice-sous-Forêt;95539;95;14 RUE PASTEUR;95350;ST BRICE SOUS FORET;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;45;0;2.359266;48.999613;48.999613, 2.359266
Entre Juine et Renarde;91148;91;2 Rue des Hêtres Pourpres;91580;CHAUFFOUR LES ETRECHY;10;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;20;0;2.204590647;48.49818738;48.49818738, 2.204590647
Bureau de Poste - Houilles;78311;78;16 AVENUE SCHOELCHER;78800;HOUILLES;2;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;136;1;2.190799;48.924331;48.924331, 2.190799
SoliCycle Porte de Vanves;75114;75;1-3 rue Prevost Paradol;75014;PARIS 14;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;306;10;2.308567;48.826404;48.826404, 2.308567
Bureau de Poste - Rosny-sous-Bois Principal;93064;93;60 RUE JEAN PIERRE TIMBAUD;93110;ROSNY SOUS BOIS;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;145;2;2.484478;48.870819;48.870819, 2.484478
ETAMPES;91109;91;9 PLACE DE L HOTEL DE VILLE;91150;ETAMPES;0;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;PDL physique;37;2;2.161834;48.434257;48.434257, 2.161834
La Poste - Site de Melun;77255;77;210 avenue Georges Clemenceau;77000;VAUX LE PENIL;7;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;126;6;2.661601;48.54839;48.54839, 2.661601
Décathlon - Varennes sur Seine;77061;77;Centre Commercial Du Breau, Rue du Bréau;77130;VARENNES SUR SEINE;1;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;12;1;2.94918;48.36099;48.36099, 2.94918
La Poste - Site de Viry;91687;91;12 rue Henri Barbusse;91170;VIRY CHATILLON;4;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;125;7;2.3754;48.6723;48.6723, 2.3754
Atelier de la Villette;75119;75;62 RUE PETIT;75019;PARIS 19;6;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;1028;0;2.386584619;48.88589614;48.88589614, 2.386584619
Décathlon - Cesson Bois Senart Melun Savigny;77447;77;212 Rue de l'Industrie;77240;CESSON;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;51;4;2.595;48.59296;48.59296, 2.595
La Poste - Site de Fontenay;78242;78;Rue Georges Besse;78330;FONTENAY LE FLEURY;5;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;69;6;2.0382;48.8105;48.8105, 2.0382
La Poste - Site de Boissy St Leger;94004;94;Place du Forum;94470;BOISSY ST LEGER;4;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;116;6;2.5024;48.7541;48.7541, 2.5024
Bureau de Poste - La Ville du Bois;91665;91;7 RUE DU GRAND NOYER;91620;LA VILLE DU BOIS;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;21;0;2.268382;48.660906;48.660906, 2.268382
Bureau de Poste - Moissy-Cramayel;77253;77;321 AVENUE PHILIPPE BUR;77550;MOISSY CRAMAYEL;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;15;1;2.5887;48.62657;48.62657, 2.5887
Bureau de Poste - Paris Wagram;75117;75;110 AVENUE DE WAGRAM;75017;PARIS 17;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;454;7;2.302232;48.883335;48.883335, 2.302232
Parking Transdev Park -  Courbevoie Jacques Cartier;92026;92;36 avenue Léonard de Vinci;92400;COURBEVOIE;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;220;5;2.236849;48.89685;48.89685, 2.236849
Franprix Henri Janin;94078;94;2 rue Henri Janin;94190;Villeneuve Saint Georges;20;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;30;0;2.449053764;48.7309761;48.7309761, 2.449053764
Bureau de Poste - Gif-sur-Yvette;91538;91;29 RUE HENRI AMODRU;91190;GIF SUR YVETTE;2;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;101;2;2.132305;48.702087;48.702087, 2.132305
La Poste - Site de Milly la Forêt;91408;91;rue du Chenet;91490;MOIGNY SUR ECOLE;6;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;10;1;2.417321;48.397857;48.397857, 2.417321
ZERIDE SEBASTOPOL CARGO;75102;75;111 boulevard sebastopol;75002;PARIS 02;3;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;PDL physique;353;0;2.352735956;48.86714609;48.86714609, 2.352735956
La Poste LA VILLETTE;75118;75;18 BOULEVARD DE LA CHAPELLE;75018;PARIS 18;25;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;1414;42;2.36258;48.884539;48.884539, 2.36258
La Poste - Site de Persan;95199;95;26 Rue Brossolette;95330;PERSAN;4;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;4;0;2.33649;49.029548;49.029548, 2.33649
Bureau de Poste - Mennecy;91244;91;63 B BOULEVARD CHARLES DE GAULLE;91540;MENNECY;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;31;0;2.430712;48.562871;48.562871, 2.430712
ORSAY;91471;91;24 RUE DE PARIS;91400;ORSAY;0;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;PDL physique;50;6;2.187731;48.697614;48.697614, 2.187731
Décathlon - Evry;91228;91;2 boulevard de l'Europe Centre commercial de l'agora;91000;EVRY;4;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;143;0;2.4278;48.6279;48.6279, 2.4278
Bureau de Poste - Velizy-Villacoublay Le Mail;78640;78;3 RUE PAULHAN;78140;VELIZY VILLACOUBLAY;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;134;7;2.181013;48.785018;48.785018, 2.181013
Franprix Antony - rue Monnet;92002;92;61 Avenue Jean Monnet;92160;ANTONY;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;16;0;2.2970513;48.7464483;48.7464483, 2.2970513
Franprix Orsay Someho;91471;91;2 rue du Docteur Ernest Lauriat;91400;ORSAY;5;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;115;0;2.187988997;48.69682312;48.69682312, 2.187988997
La Poste - Site de Bry sur Marne;94015;94;6 rue du Clos Sainte Catherine;94360;BRY SUR MARNE;9;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;41;3;2.524548;48.829547;48.829547, 2.524548
La Poste - Site de St Denis;93066;93;50 Avenue du Président Wilson;93210;SAINT DENIS;18;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;366;4;2.357899;48.91319;48.91319, 2.357899
Bureau de Poste - Ozoir-la-Ferrière;77350;77;6 AVENUE EDOUARD GOURDON;77330;OZOIR LA FERRIERE;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;28;0;2.678368;48.773041;48.773041, 2.678368
Bureau de Poste - Pontault-Combault;77373;77;3 AVENUE CHARLES ROUXEL;77340;PONTAULT COMBAULT;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;72;0;2.605219;48.798345;48.798345, 2.605219
